congress,Intro_bills,passed_house,paassed_senate,enacted_signed_by_pres,enacted_included_in_other_bill,Split_Gov
116th_congress_2019_2021,421,33,14,12,32,0
115th_congress_2017_2019,297,36,15,16,41,1
114th_congress_2015_2017,169,28,3,4,10,0
113th_congress_2013_2015,148,15,2,6,11,0
112th_congress_2011_2013,124,8,1,3,4,0
111th_congress_2009_2010,147,15,3,14,20,1
110th_congress_2007_2009,1850,196,34,89,161,1
109th_congress_2005_2006,2004,106,46,100,117,0
108th_congress_2003_2004,1744,109,88,128,150,0
107th_congress_2001_2002,1805,101,58,97,116,0
106th_congress_1999_2000,1782,105,65,149,185,1
105th_congress_1997_1998,1360,86,59,125,150,1
104th_congress_1995_1996,1039,83,29,94,111,1
103rd_congress_1993_1994,526,78,37,91,104,0
102nd_congress_1991_1992,118,18,14,31,33,1
101st_congress_1989_1990,88,13,13,20,26,1
100th_congress_1987_1988,111,6,2,21,24,1
99th_congress_1985_1986,122,4,5,18,21,0
98th_congress_1983_1984,176,7,8,14,15,0
97th_congress_1981_1982,132,12,9,6,6,0
96th_congress_1979_1980,146,10,6,21,25,0
95th_congress_1977_1978,308,3,2,13,14,0
94th_congress_1975_1976,215,2,2,11,12,1
93rd_congress_1973_1974,384,2,2,9,14,1
